 time            V("/vd1")       V("/vd2")       V("/vtemp")     V("/vload")    
 1.71280000e+00  4.99911145e+00  1.52882342e+00  6.07767200e+01  4.97553539e+00 
 1.72280000e+00  4.99911218e+00  1.52882297e+00  6.11257200e+01  4.97553539e+00 
 1.73280000e+00  4.99911145e+00  1.52882342e+00  6.14747200e+01  4.97553539e+00 
 1.74280000e+00  4.99911218e+00  1.52882297e+00  6.18237200e+01  4.97553539e+00 
 1.75280000e+00  4.99911145e+00  1.52882342e+00  6.21727200e+01  4.97553539e+00 
 1.76280000e+00  4.99911218e+00  1.52882297e+00  6.25217200e+01  4.97553539e+00 
 1.77280000e+00  4.99911145e+00  1.52882342e+00  6.28707200e+01  4.97553539e+00 
 1.78280000e+00  4.99911218e+00  1.52882297e+00  6.32197200e+01  4.97553539e+00 
 1.79280000e+00  4.99911145e+00  1.52882342e+00  6.35687200e+01  4.97553539e+00 
 1.80280000e+00  4.99911218e+00  1.52882297e+00  6.39177200e+01  4.97553539e+00 
 1.81280000e+00  4.99911145e+00  1.52882342e+00  6.42667200e+01  4.97553539e+00 
 1.82280000e+00  4.99911218e+00  1.52882297e+00  6.46157200e+01  4.97553539e+00 
 1.83280000e+00  4.99911145e+00  1.52882342e+00  6.49647200e+01  4.97553539e+00 
 1.84280000e+00  4.99911218e+00  1.52882297e+00  6.53137200e+01  4.97553539e+00 
 1.85280000e+00  4.99911145e+00  1.52882342e+00  6.56627200e+01  4.97553539e+00 
 1.86280000e+00  4.99911217e+00  1.52882297e+00  6.60117200e+01  4.97553539e+00 
 1.87280000e+00  4.99911145e+00  1.52882342e+00  6.63607200e+01  4.97553539e+00 
 1.88280000e+00  4.99911217e+00  1.52882297e+00  6.67097200e+01  4.97553539e+00 
 1.89280000e+00  4.99911145e+00  1.52882342e+00  6.70587200e+01  4.97553539e+00 
 1.90280000e+00  4.99911217e+00  1.52882297e+00  6.74077200e+01  4.97553539e+00 
 1.91280000e+00  4.99911145e+00  1.52882342e+00  6.77567200e+01  4.97553539e+00 
 1.92280000e+00  4.99911217e+00  1.52882297e+00  6.81057200e+01  4.97553539e+00 
 1.93280000e+00  4.99911146e+00  1.52882342e+00  6.84547200e+01  4.97553539e+00 
 1.94280000e+00  4.99911217e+00  1.52882297e+00  6.88037200e+01  4.97553539e+00 
 1.95280000e+00  4.99911146e+00  1.52882342e+00  6.91527200e+01  4.97553539e+00 
 1.96280000e+00  4.99911217e+00  1.52882297e+00  6.95017200e+01  4.97553539e+00 
 1.97280000e+00  4.99911146e+00  1.52882341e+00  6.98507200e+01  4.97553539e+00 
 1.98280000e+00  4.99911216e+00  1.52882297e+00  7.01997200e+01  4.97553539e+00 
 1.99280000e+00  4.99911146e+00  1.52882341e+00  7.05487200e+01  4.97553539e+00 
 2.00280000e+00  4.99911216e+00  1.52882298e+00  7.08977200e+01  4.97553539e+00 
 2.01280000e+00  4.99911146e+00  1.52882341e+00  7.12467200e+01  4.97553539e+00 
 2.02280000e+00  4.99911216e+00  1.52882298e+00  7.15957200e+01  4.97553539e+00 
 2.03280000e+00  4.99911146e+00  1.52882341e+00  7.19447200e+01  4.97553539e+00 
 2.04280000e+00  4.99911216e+00  1.52882298e+00  7.22937200e+01  4.97553539e+00 
 2.05280000e+00  4.99911146e+00  1.52882341e+00  7.26427200e+01  4.97553539e+00 
 2.06280000e+00  4.99911216e+00  1.52882298e+00  7.29917200e+01  4.97553539e+00 
 2.07280000e+00  4.99911146e+00  1.52882341e+00  7.33407200e+01  4.97553539e+00 
 2.08280000e+00  4.99911216e+00  1.52882298e+00  7.36897200e+01  4.97553539e+00 
 2.09280000e+00  4.99911146e+00  1.52882341e+00  7.40387200e+01  4.97553539e+00 
 2.10280000e+00  4.99911216e+00  1.52882298e+00  7.43877200e+01  4.97553539e+00 
 2.11280000e+00  4.99911146e+00  1.52882341e+00  7.47367200e+01  4.97553539e+00 
 2.12280000e+00  4.99911215e+00  1.52882298e+00  7.50857200e+01  4.97553539e+00 
 2.13280000e+00  4.99911146e+00  1.52882341e+00  7.54347200e+01  4.97553539e+00 
 2.14280000e+00  4.99911215e+00  1.52882298e+00  7.57837200e+01  4.97553539e+00 
 2.15280000e+00  4.99911146e+00  1.52882341e+00  7.61327200e+01  4.97553539e+00 
 2.16280000e+00  4.99911215e+00  1.52882298e+00  7.64817200e+01  4.97553539e+00 
 2.17280000e+00  4.99911146e+00  1.52882341e+00  7.68307200e+01  4.97553539e+00 
 2.18280000e+00  4.99911215e+00  1.52882298e+00  7.71797200e+01  4.97553539e+00 
 2.19280000e+00  4.99911146e+00  1.52882341e+00  7.75287200e+01  4.97553539e+00 
 2.20280000e+00  4.99911215e+00  1.52882298e+00  7.78777200e+01  4.97553539e+00 
 2.21280000e+00  4.99911146e+00  1.52882341e+00  7.82267200e+01  4.97553539e+00 
 2.22280000e+00  4.99911215e+00  1.52882298e+00  7.85757200e+01  4.97553539e+00 
