 time            V("/vd1")       V("/vd2")       V("/vcont")     V("/vload")    
 1.10280000e+00  4.99467129e+00  1.00536697e+00  3.94877200e+01  3.61501481e-11 
 1.11280000e+00  4.99467133e+00  1.00536676e+00  3.98367200e+01  1.07935519e-10 
 1.12280000e+00  4.99467129e+00  1.00536697e+00  4.01857200e+01  3.65279940e-11 
 1.13280000e+00  4.99467133e+00  1.00536676e+00  4.05347200e+01  1.07517877e-10 
 1.14280000e+00  4.99467129e+00  1.00536697e+00  4.08837200e+01  3.68233725e-11 
 1.15280000e+00  4.99467133e+00  1.00536676e+00  4.12327200e+01  1.07288181e-10 
 1.16280000e+00  4.99467129e+00  1.00536697e+00  4.15817200e+01  3.70409621e-11 
 1.17280000e+00  4.99467133e+00  1.00536676e+00  4.19307200e+01  1.07122204e-10 
 1.18280000e+00  4.99467129e+00  1.00536697e+00  4.22797200e+01  3.72464238e-11 
 1.19280000e+00  4.99467133e+00  1.00536676e+00  4.26287200e+01  1.06837918e-10 
 1.20280000e+00  4.99467129e+00  1.00536697e+00  4.29777200e+01  3.75045175e-11 
 1.21280000e+00  4.99467133e+00  1.00536676e+00  4.33267200e+01  1.06539100e-10 
 1.22280000e+00  4.99467129e+00  1.00536697e+00  4.36757200e+01  3.78626551e-11 
 1.23280000e+00  4.99467133e+00  1.00536676e+00  4.40247200e+01  1.06249507e-10 
 1.24280000e+00  4.99467129e+00  1.00536697e+00  4.43737200e+01  3.81215415e-11 
 1.25280000e+00  4.99467133e+00  1.00536676e+00  4.47227200e+01  1.05935660e-10 
 1.26280000e+00  4.99467129e+00  1.00536697e+00  4.50717200e+01  3.84607187e-11 
 1.27280000e+00  4.99467133e+00  1.00536676e+00  4.54207200e+01  1.05674421e-10 
 1.28280000e+00  4.99467129e+00  1.00536697e+00  4.57697200e+01  3.86438543e-11 
 1.29280000e+00  4.99467133e+00  1.00536676e+00  4.61187200e+01  1.05474861e-10 
 1.30280000e+00  4.99467129e+00  1.00536697e+00  4.64677200e+01  3.88880887e-11 
 1.31280000e+00  4.99467133e+00  1.00536676e+00  4.68167200e+01  1.05175186e-10 
 1.32280000e+00  4.99467129e+00  1.00536697e+00  4.71657200e+01  3.92133321e-11 
 1.33280000e+00  4.99467133e+00  1.00536676e+00  4.75147200e+01  1.04924713e-10 
 1.34280000e+00  4.99467129e+00  1.00536697e+00  4.78637200e+01  3.93764749e-11 
